"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bosnia and Herzegovina","BIH","Urban population (% of total)","SP.URB.TOTL.IN.ZS","19.04","19.686","20.437","21.209","22.004","22.817","23.652","24.509","25.387","26.283","27.201","28.094","28.875","29.666","30.471","31.288","32.118","32.957","33.808","34.67","35.543","36.282","36.607","36.933","37.261","37.589","37.919","38.25","38.583","38.915","39.249","39.578","39.887","40.196","40.506","40.817","41.13","41.442","41.755","42.069","42.384","42.698","43.014","43.33","43.648","43.965","44.282","44.601","44.92","45.239","45.558","45.878","46.199","46.519","46.84","47.173","47.518","47.876",
"Belarus","BLR","Urban population (% of total)","SP.URB.TOTL.IN.ZS","32.401","33.522","34.663","35.822","37","38.127","39.269","40.422","41.588","42.76","44.01","45.349","46.697","48.046","49.4","50.614","51.829","53.039","54.247","55.402","56.498","57.584","58.664","59.736","60.8","61.833","62.857","63.87","64.872","65.585","65.981","66.374","66.766","67.155","67.541","67.926","68.308","68.687","69.064","69.482","69.973","70.458","70.939","71.415","71.887","72.354","72.816","73.273","73.726","74.172","74.672","75.188","75.697","76.199","76.693","77.181","77.661","78.134",
"Belize","BLZ","Urban population (% of total)","SP.URB.TOTL.IN.ZS","54.028","53.72","53.41","53.101","52.79","52.481","52.17","51.86","51.549","51.238","50.963","50.805","50.646","50.488","50.329","50.171","50.012","49.854","49.695","49.537","49.374","49.183","48.992","48.801","48.61","48.419","48.228","48.037","47.846","47.655","47.465","47.271","47.059","46.848","46.637","46.425","46.214","46.003","45.793","45.582","45.398","45.381","45.364","45.347","45.33","45.313","45.296","45.279","45.262","45.245","45.228","45.228","45.246","45.282","45.335","45.406","45.495","45.601",
"Bermuda","BMU","Urban population (% of total)","SP.URB.TOTL.IN.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Bolivia","BOL","Urban population (% of total)","SP.URB.TOTL.IN.ZS","36.762","37.059","37.357","37.656","37.957","38.257","38.559","38.862","39.166","39.47","39.776","40.082","40.389","40.696","41.004","41.314","41.624","42.446","43.442","44.443","45.451","46.459","47.472","48.486","49.504","50.519","51.535","52.549","53.563","54.571","55.577","56.579","57.541","58.079","58.615","59.15","59.682","60.212","60.739","61.264","61.787","62.306","62.783","63.248","63.711","64.17","64.628","65.082","65.535","65.984","66.43","66.874","67.315","67.699","68.047","68.393","68.738","69.08",
"Brazil","BRA","Urban population (% of total)","SP.URB.TOTL.IN.ZS","46.139","47.122","48.099","49.078","50.059","51.037","52.016","52.993","53.97","54.94","55.909","56.894","57.879","58.855","59.826","60.789","61.745","62.689","63.625","64.551","65.468","66.37","67.262","68.142","69.01","69.862","70.703","71.529","72.342","73.139","73.922","74.69","75.444","76.181","76.903","77.61","78.302","79.048","79.781","80.496","81.192","81.553","81.88","82.203","82.521","82.834","83.143","83.448","83.749","84.044","84.335","84.631","84.923","85.209","85.492","85.77","86.042","86.309",
"Barbados","BRB","Urban population (% of total)","SP.URB.TOTL.IN.ZS","36.777","36.849","36.922","36.995","37.068","37.141","37.214","37.287","37.36","37.433","37.55","37.809","38.07","38.331","38.592","38.855","39.118","39.381","39.646","39.91","40.102","39.828","39.554","39.28","39.007","38.736","38.464","38.194","37.923","37.654","37.37","37.006","36.643","36.283","35.924","35.566","35.21","34.856","34.503","34.152","33.827","33.629","33.431","33.234","33.037","32.841","32.646","32.451","32.256","32.063","31.87","31.7","31.553","31.429","31.328","31.249","31.193","31.159",
"Brunei Darussalam","BRN","Urban population (% of total)","SP.URB.TOTL.IN.ZS","43.401","45.228","47.07","48.92","50.776","52.625","54.469","56.3","58.118","59.908","61.675","63.412","63.736","63.889","64.041","64.193","64.345","64.496","64.647","64.798","64.949","65.099","65.249","65.399","65.548","65.697","65.846","65.994","66.143","66.29","66.438","66.585","67.078","67.604","68.126","68.644","69.158","69.666","70.17","70.669","71.164","71.652","72.046","72.421","72.794","73.163","73.529","73.892","74.252","74.608","74.961","75.31","75.656","75.997","76.332","76.663","76.99","77.312",
"Bhutan","BTN","Urban population (% of total)","SP.URB.TOTL.IN.ZS","3.596","3.792","3.999","4.217","4.446","4.687","4.94","5.207","5.487","5.781","6.089","6.413","6.754","7.11","7.484","7.876","8.288","8.717","9.168","9.639","10.132","10.646","11.184","11.745","12.332","12.941","13.577","14.24","14.929","15.645","16.388","17.161","17.962","18.791","19.649","20.537","21.456","22.401","23.377","24.383","25.418","26.48","27.57","28.688","29.835","30.965","31.712","32.469","33.236","34.01","34.793","35.585","36.371","37.149","37.918","38.678","39.428","40.167",
"Botswana","BWA","Urban population (% of total)","SP.URB.TOTL.IN.ZS","3.06","3.097","3.134","3.171","3.318","3.839","4.437","5.124","5.912","6.81","7.834","8.998","9.695","10.381","11.11","11.884","12.705","13.572","14.489","15.457","16.479","17.552","19.489","21.723","24.139","26.724","29.483","32.401","35.467","38.648","41.933","45.292","46.443","47.286","48.133","48.981","49.83","50.677","51.525","52.372","53.219","54.062","54.57","55.029","55.488","55.944","56.4","57.928","59.444","60.937","62.412","63.865","64.768","65.572","66.368","67.155","67.933","68.7",
"Central African Republic","CAF","Urban population (% of total)","SP.URB.TOTL.IN.ZS","20.1","20.751","21.418","22.1","22.803","23.519","24.252","25","25.815","26.645","27.492","28.356","29.238","30.133","31.045","31.971","32.575","32.897","33.221","33.546","33.874","34.202","34.532","34.864","35.198","35.532","35.868","36.206","36.545","36.744","36.825","36.906","36.987","37.068","37.149","37.231","37.312","37.394","37.475","37.557","37.639","37.72","37.802","37.884","37.966","38.069","38.193","38.339","38.506","38.694","38.904","39.135","39.388","39.663","39.959","40.277","40.618","40.98",
"Canada","CAN","Urban population (% of total)","SP.URB.TOTL.IN.ZS","69.061","69.668","70.494","71.307","72.107","72.892","73.642","74.155","74.662","75.161","75.654","76.09","75.971","75.851","75.731","75.611","75.503","75.543","75.583","75.623","75.663","75.712","75.874","76.035","76.195","76.354","76.502","76.522","76.542","76.562","76.582","76.62","76.887","77.152","77.414","77.675","77.951","78.34","78.724","79.103","79.478","79.81","79.888","79.967","80.045","80.122","80.213","80.396","80.578","80.758","80.937","81.096","81.137","81.178","81.218","81.259","81.3","81.35",
"Central Europe and the Baltics","CEB","Urban population (% of total)","SP.URB.TOTL.IN.ZS","44.5079211390026","45.206665319194","45.866564696018","46.5340927663649","47.2087429803525","47.8803084429574","48.5050971917594","49.0677671358541","49.6386962498077","50.2156576933219","50.780409860457","51.4262726539069","52.1458080055461","52.8651556014363","53.584783317251","54.2942716916854","54.9928518763404","55.7078298791962","56.4367831554039","57.1064165586074","57.7034144403169","58.1576956212031","58.5544889344139","58.9524651113373","59.3511305739885","59.7446752244068","60.1290609516598","60.5096429926903","60.8915564293277","61.1831639182924","61.3916028156473","61.6199440488974","61.7031400646782","61.6617019045832","61.6369300031985","61.6050736839417","61.5924757882665","61.5601886949949","61.5364604073513","61.5019173578968","61.4793279209614","61.4852279679039","61.545792573776","61.5924018216317","61.6387117571285","61.6935176022955","61.7550374083243","61.8332724688952","61.9161050787999","61.9777822479319","62.018023397064","62.0639344852314","62.0817769738868","62.0968137366794","62.1136451427738","62.1406832491248","62.1844790946334","62.2472952500792",
"Switzerland","CHE","Urban population (% of total)","SP.URB.TOTL.IN.ZS","70.924","71.243","71.539","71.834","72.127","72.417","72.706","72.993","73.279","73.561","73.843","73.992","74.046","74.1","74.154","74.208","74.262","74.316","74.37","74.424","74.477","74.466","74.406","74.346","74.286","74.227","74.167","74.107","74.046","73.986","73.926","73.869","73.815","73.762","73.708","73.654","73.6","73.546","73.492","73.438","73.383","73.375","73.401","73.427","73.452","73.478","73.504","73.53","73.556","73.581","73.607","73.631","73.653","73.674","73.696","73.718","73.739","73.761",
"Channel Islands","CHI","Urban population (% of total)","SP.URB.TOTL.IN.ZS","38.7","38.436","38.172","37.909","37.646","37.385","37.124","36.864","36.604","36.346","36.088","35.803","35.394","34.989","34.585","34.183","33.783","33.387","32.992","32.599","32.209","31.909","31.89","31.871","31.851","31.832","31.813","31.707","31.602","31.497","31.392","31.262","31.076","30.891","30.706","30.522","30.4","30.416","30.432","30.449","30.465","30.495","30.557","30.619","30.681","30.743","30.805","30.867","30.929","30.992","31.054","31.091","31.059","31.027","30.995","30.962","30.93","30.914",
"Chile","CHL","Urban population (% of total)","SP.URB.TOTL.IN.ZS","67.836","68.66","69.435","70.2","70.955","71.696","72.427","73.146","73.854","74.547","75.227","75.883","76.528","77.159","77.778","78.386","78.982","79.565","80.136","80.695","81.243","81.778","82.226","82.359","82.492","82.624","82.755","82.885","83.014","83.143","83.271","83.398","83.564","83.896","84.223","84.545","84.861","85.172","85.477","85.778","86.073","86.363","86.606","86.665","86.725","86.783","86.842","86.9","86.959","87.017","87.074","87.132","87.189","87.246","87.303","87.36","87.422","87.49",
"China","CHN","Urban population (% of total)","SP.URB.TOTL.IN.ZS","16.203","16.708","17.226","17.757","18.299","18.086","17.915","17.785","17.656","17.528","17.4","17.292","17.184","17.184","17.292","17.4","17.46","17.52","17.9","18.617","19.358","20.118","20.902","21.545","22.203","22.874","23.559","24.259","24.974","25.701","26.442","27.312","28.2","29.103","30.024","30.961","31.916","32.883","33.867","34.865","35.877","37.093","38.425","39.776","41.144","42.522","43.868","45.199","46.539","47.88","49.226","50.511","51.765","53.013","54.259","55.5","56.736","57.96",
"Cote d'Ivoire","CIV","Urban population (% of total)","SP.URB.TOTL.IN.ZS","17.679","18.911","20.21","21.575","23.007","24.5","25.206","25.926","26.659","27.404","28.163","28.934","29.719","30.513","31.321","32.229","33.594","34.983","36.4","36.614","36.829","37.044","37.26","37.476","37.693","37.91","38.127","38.346","38.608","38.976","39.345","39.716","40.088","40.461","40.835","41.21","41.587","41.964","42.342","42.741","43.155","43.568","43.983","44.399","44.817","45.234","45.652","46.071","46.491","46.91","47.33","47.751","48.172","48.593","49.014","49.444","49.881","50.326",
"Cameroon","CMR","Urban population (% of total)","SP.URB.TOTL.IN.ZS","13.937","14.488","15.058","15.647","16.255","16.88","17.525","18.19","18.875","19.577","20.3","21.584","22.927","24.324","25.78","27.292","28.678","29.469","30.274","31.091","31.921","32.761","33.613","34.476","35.35","36.232","37.124","37.941","38.511","39.082","39.657","40.235","40.817","41.399","41.985","42.573","43.164","43.755","44.348","44.944","45.542","46.139","46.738","47.338","47.94","48.541","49.143","49.746","50.35","50.954","51.559","52.164","52.769","53.373","53.976","54.578","55.179","55.777",
"Congo, Dem. Rep.","COD","Urban population (% of total)","SP.URB.TOTL.IN.ZS","22.3","22.523","22.749","22.976","23.204","23.434","23.666","23.899","24.134","24.37","24.608","24.847","25.089","25.331","25.575","25.821","26.068","26.317","26.567","26.819","27.072","27.327","27.583","27.84","28.1","28.513","28.93","29.35","29.775","30.202","30.633","31.067","31.506","31.946","32.39","32.838","33.289","33.742","34.199","34.659","35.122","35.587","36.055","36.526","37","37.481","37.971","38.47","38.976","39.491","40.013","40.544","41.082","41.627","42.18","42.74","43.307","43.88",
"Congo, Rep.","COG","Urban population (% of total)","SP.URB.TOTL.IN.ZS","31.601","32.318","33.045","33.78","34.524","35.273","36.031","36.796","37.569","38.345","39.129","39.919","40.715","41.514","42.357","43.264","44.177","45.091","46.01","46.932","47.857","48.781","49.707","50.633","51.56","52.221","52.642","53.064","53.485","53.905","54.324","54.743","55.162","55.58","55.996","56.413","56.832","57.299","57.766","58.231","58.695","59.156","59.617","60.076","60.533","60.988","61.441","61.893","62.346","62.8","63.256","63.712","64.169","64.627","65.085","65.543","66.001","66.459",
"Colombia","COL","Urban population (% of total)","SP.URB.TOTL.IN.ZS","46.268","47.702","49.143","50.584","52.027","52.82","53.587","54.352","55.117","55.877","56.635","57.39","58.143","58.89","59.607","60.306","61.003","61.693","62.379","63.061","63.738","64.408","65.073","65.733","66.387","67.034","67.566","68.051","68.532","69.008","69.481","69.949","70.415","70.874","71.328","71.777","72.223","72.662","73.098","73.53","73.957","74.379","74.797","75.211","75.62","76.024","76.423","76.816","77.204","77.587","77.964","78.335","78.701","79.061","79.415","79.764","80.108","80.446",
"Comoros","COM","Urban population (% of total)","SP.URB.TOTL.IN.ZS","12.551","13.348","14.189","15.074","16.004","16.978","18","18.34","18.685","19.035","19.39","19.75","20.115","20.484","20.859","21.239","21.625","22.014","22.41","22.81","23.215","23.649","24.095","24.548","25.006","25.469","25.938","26.413","26.893","27.378","27.869","28.366","28.435","28.39","28.346","28.301","28.257","28.213","28.168","28.124","28.08","28.036","27.992","27.947","27.903","27.875","27.863","27.867","27.886","27.921","27.973","28.04","28.123","28.223","28.338","28.47","28.619","28.784",
"Cabo Verde","CPV","Urban population (% of total)","SP.URB.TOTL.IN.ZS","16.679","16.948","17.224","17.503","17.787","18.073","18.363","18.657","18.954","19.255","19.559","19.9","20.272","20.649","21.031","21.419","21.812","22.209","22.612","23.02","23.518","24.995","26.535","28.133","29.792","31.5","33.885","36.355","38.902","41.504","44.12","45.044","45.973","46.902","47.834","48.768","49.704","50.637","51.572","52.505","53.435","54.291","55.146","55.997","56.846","57.689","58.529","59.363","60.194","61.016","61.821","62.322","62.821","63.317","63.81","64.3","64.784","65.261",
"Costa Rica","CRI","Urban population (% of total)","SP.URB.TOTL.IN.ZS","34.254","34.329","34.404","34.606","35.197","35.791","36.39","36.993","37.601","38.212","38.827","39.445","40.068","40.655","41.002","41.349","41.698","42.046","42.396","42.747","43.099","43.45","43.803","44.156","44.542","45.445","46.353","47.264","48.177","49.089","50.003","50.917","51.832","52.743","53.653","54.561","55.467","56.367","57.264","58.157","59.052","60.41","61.753","63.08","64.388","65.672","66.935","68.174","69.39","70.575","71.736","72.868","73.946","74.97","75.941","76.862","77.735","78.56",
