"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4143755825367","","","","3.21385754219842","3.29231347724202","4.05265539838866","10.2400979357904","4.91572895383906","5.44921110825258","4.69476774168579","3.75873566084448","",
"Afghanistan","AFG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.179503227852738","0.339874041348881","0.761716062589341","1.74455386513131","0.697374879419064","0.724100711307847","0.699557264166718","0.959974650011442","0.991776724901072","4.22269969691477","6.1674149347664","1.31430513179235","3.46961564193234","0.764653339194069","0.893509248780069","0.530148790877421","0.443274093451163","0.513330673282242","0.120347981733419","1.48734647699569","0.647750656841347","",
"Andorra","AND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16474759828771","13.5607245482879","19.801225602101","12.8138865020649","9.70343223954206","10.9219683281084","21.7966184565402","16.9856774992247","20.476748005875","26.6974231535714","26.4016186858457","15.3653892261624","22.3118838490728","13.9262134771426","10.302109050979","21.618012406174","16.7469272585962","19.4440624188741","22.0504795167245","18.6113357650062","","","",
"Arab World","ARB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27383726053751","1.42932840951049","3.32806434738392","0.903992034372827","1.13629893698448","","1.90008710559821","2.84914272412418","1.88885771773148","1.49438071950417","1.3990114835989","1.68386125799598","1.1783849814667","1.45694098475327","1.353034126104","1.09938721008879","1.57100767833237","","","1.13096040483375","2.09665055587492","1.7300432089552","3.33809193146851","","2.381363859635","",
"United Arab Emirates","ARE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0264786378371928","0.151992165621186","0.0316455206675601","","","","","","1.12098329514486","0.708440058371848","1.96507194450091","","","","1.87148890208996","","1.0703835678953","3.20278543864225","","","","3.71069131493056","3.17757823106775","8.46340885062954","","2.32146635303879","",
"Argentina","ARG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.95319101738916","6.47917455111123","4.75737050523623","4.02028497993517","5.59195717999793","5.07483159624345","5.90945120886604","8.10406311778607","9.35185630557545","9.26734447550764","7.66904536724454","8.89749476292353","7.71902367797146","6.82663003884753","7.05418221980282","6.59445029079414","9.01736918631716","8.68693306584071","7.41858591272585","7.07402144339035","6.41577877146912","7.25968019837633","6.87639172294696","9.00819985271696","8.79281472735163","",
"Armenia","ARM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5016075905402","","2.28304231745568","4.72662731922515","10.398726594463","1.62244817132918","1.40902707955636","1.24611704633639","0.619179418428506","1.08039524420016","0.875873520221703","1.40588202628169","2.18189877411748","1.84865937230269","2.59836231615234","2.64941166758661","2.88315023156039","2.70033218674106","5.27427739363081","5.93860928912599","",
"American Samoa","ASM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
